Resistance Gassensor,label
12764.259766,0
183644.1875,0
193244.015625,0
200626.953125,0
44991.210938,0
47985.003906,0
50039.09375,0
20214.78125,0
35904.628906,0
55113.023438,0
75227.742188,0
1718120.75,0
1805598.375,0
1947230.75,0
347826.09375,0
354325.25,0
357292.40625,0
81789.140625,0
106711.132812,0
127712.648438,0
148233.9375,0
3796987.25,0
4035468,0
4381920.5,0
758378.0625,0
743375.6875,0
744186.0625,0
142897.015625,0
168421.046875,0
195010.46875,0
214765.09375,0
5851428.5,0
6297905,0
6745162.5,0
1141265,0
1117903.875,0
1114254.625,0
198065.765625,0
227505,0
250000,0
268907.5625,0
8070936,0
8445361,0
9046935,0
1459729.125,0
1435178.75,0
1408528.25,0
240658.046875,0
271258.28125,0
298542.28125,0
135953.265625,0
4403117.5,0
4603540.5,0
4866053,0
730645.75,0
721380.75,0
720619.3125,0
158710.484375,0
205705.109375,0
240150.09375,0
272557.90625,0
8432321,0
8856216,0
9511756,0
1505052.375,0
1462857.125,0
1445817.125,0
249269.71875,0
287237.03125,0
313054.125,0
335847.8125,0
11029283,0
11603399,0
12466426,0
1915809.125,0
1875028.625,0
1832252.25,0
294930.875,0
331284.375,0
356918.78125,0
384962.40625,0
13805772,0
14237671,0
15230304,0
2224877.75,0
2175252.25,0
2112974,0
328731.9375,0
366106.53125,0
397747.125,0
421572.65625,0
16165762,0
16684318,0
17471608,0
2488456.75,0
2420088.75,0
2337232.5,0
356918.78125,0
401962.71875,0
428720.96875,0
185641.765625,0
8011736,0
8247672,0
8458441,0
1082452.375,0
1065556.75,0
1049987.125,0
213288.890625,0
272775.71875,0
315951.875,0
351769.15625,0
14406683,0
14837220,0
15445675,0
2090329.125,0
2026719.5,0
1966866.75,0
310491.21875,0
356918.78125,0
394073.5,0
421052.625,0
17598282,0
18336878,0
18973944,0
2522944.25,0
2439547.25,0
2375870,0
352132.0625,0
405785.625,0
436394.625,0
461157.40625,0
20505632,0
21038844,0
21729442,0
2828729.25,0
2721594.75,0
2629855.5,0
390467.125,0
435281.625,0
465560.34375,0
491009.34375,0
23206798,0
24254626,0
24791376,0
3120167.5,0
2931997.25,0
2817056.5,0
410914.9375,0
458370.625,0
488200.25,0
215988.1875,0
10875539,0
11051602,0
11175989,0
1279200.5,0
1240836.125,0
1224148.25,0
240150.09375,0
307415.1875,0
353591.15625,0
398676.28125,0
19727874,0
20127764,0
20467208,0
2452694.5,0
2361487.5,0
2286352.25,0
343278.59375,0
402911.65625,0
438637.8125,0
467153.28125,0
24160738,0
24707258,0
25162604,0
2935148.75,0
2793997.25,0
2705416,0
393846.15625,0
443770.3125,0
477611.9375,0
504806.5,0
27524570,0
27929256,0
28531128,0
3261795.75,0
3150769.25,0
2996342.25,0
421312.5,0
469401.78125,0
512384.28125,0
538239.1875,0
30460608,0
30869524,0
31289568,0
3520412.5,0
3343673.5,0
3225196.75,0
444637.4375,0
494925.09375,0
531948.0625,0
234217.75,0
13374694,0
13515364,0
13448800,0
1404182.375,0
1374496.625,0
1342070.75,0
258520.578125,0
326843.28125,0
387805.34375,0
426577.78125,0
25191620,0
25381874,0
25605000,0
2718884.75,0
2592405,0
2506732,0
364153.625,0
430885.75,0
466833.8125,0
494925.09375,0
30249712,0
30333720,0
30567164,0
3303225.75,0
3145325.5,0
2970268.25,0
416938.125,0
468757.15625,0
515090.53125,0
546424.75,0
33807584,0
34018168,0
35139948,0
3630401,0
3447086,0
3301229,0
448729.1875,0
502206.96875,0
539089.25,0
568730.9375,0
37331816,0
37299944,0
36984200,0
3858690.5,0
3684281.5,0
3493390.25,0
466514.8125,0
522982.625,0
564498.375,0
245681.375,0
15976597,0
15555661,0
15769009,0
1543330.875,0
1477100.625,0
1444287.75,0
270827.8125,0
342589.5,0
403387.8125,0
446381.875,0
29856948,0
29755278,0
29714804,0
2931997.25,0
2782608.75,0
